TransactionID,Date,CustomerID,Gender,Age,ProductCategory,ProductName,Quantity,UnitPrice,TotalPrice,Branch,PaymentMethod
5075,2023-01-04 02:00:00,3159,Male,67,Beverage,Mineral Water,5,109.72,548.6,D,Credit Card
5076,2023-01-04 03:00:00,3181,Male,41,Dairy,Cheese,11,14.24,156.64000000000001,D,E-Wallet
5077,2023-01-04 04:00:00,3071,Female,60,Snacks,Cookies,8,43.97,351.76,B,Cash
5078,2023-01-04 05:00:00,3366,Female,51,Electronics,Phone Case,11,46.98,516.78,C,Bank Transfer
5079,2023-01-04 06:00:00,3372,Female,54,Personal Care,Lotion,10,97.07,970.6999999999999,A,Credit Card
5080,2023-01-04 07:00:00,3155,Female,31,Frozen,Frozen Pizza,1,34.0,34.0,A,Bank Transfer
5081,2023-01-04 08:00:00,3209,Male,23,Household,Tissue,6,63.43,380.58,C,Credit Card
5082,2023-01-04 09:00:00,3391,Male,,Frozen,Ice Cream,6,97.52,585.12,A,E-Wallet
5083,2023-01-04 10:00:00,3271,Male,26,Beverage,Mineral Water,1,113.54,113.54,B,Bank Transfer
5084,2023-01-04 11:00:00,3256,Female,49,Dairy,Butter,11,44.94,494.34,D,Bank Transfer
5085,2023-01-04 12:00:00,3245,,37,Personal Care,Shampoo,1,50.38,50.38,A,Cash
5086,2023-01-04 13:00:00,3360,Female,33,Snacks,Cookies,6,7.75,46.5,B,Cash
5087,2023-01-04 14:00:00,3460,Female,30,Produce,Carrots,9,35.49,319.41,A,Bank Transfer
5088,2023-01-04 15:00:00,3439,Female,33,Beverage,Mineral Water,2,72.13,144.26,B,E-Wallet
5089,2023-01-04 16:00:00,3456,Male,67,Personal Care,Soap,4,44.7,178.8,A,Cash
5090,2023-01-04 17:00:00,3130,Female,62,Beverage,Juice,1,9.19,9.19,C,Cash
5091,2023-01-04 18:00:00,3044,Female,48,Electronics,USB Cable,6,5.37,32.22,B,Cash
5092,2023-01-04 19:00:00,3187,Male,18,Snacks,Crackers,3,7.11,21.330000000000002,B,Bank Transfer
5093,2023-01-04 20:00:00,3358,Female,30,Beverage,Soft Drink,7,32.6,228.20000000000002,D,E-Wallet
5094,2023-01-04 21:00:00,3184,Male,32,Snacks,Nuts,6,68.67,412.02,C,Bank Transfer
5095,2023-01-04 22:00:00,3026,Male,52,Beverage,Juice,1,54.05,54.05,A,E-Wallet
5096,2023-01-04 23:00:00,3435,Female,30,Dairy,Cheese,8,54.86,438.88,A,E-Wallet
5097,2023-01-05 00:00:00,3469,Male,63,Electronics,USB Cable,4,90.23,360.92,B,E-Wallet
5098,2023-01-05 01:00:00,3313,Female,33,Dairy,Milk,7,27.95,195.65,C,E-Wallet
5099,2023-01-05 02:00:00,3306,Male,69,Dairy,Milk,10,111.59,1115.9,B,Bank Transfer
5100,2023-01-05 03:00:00,3269,Female,43,Dairy,Cheese,6,4.46,26.759999999999998,C,E-Wallet
5101,2023-01-05 04:00:00,3019,Male,69,Snacks,Chips,7,101.98,713.86,A,Credit Card
5102,2023-01-05 05:00:00,3466,Female,51,Dairy,Cheese,5,81.7,408.5,D,Credit Card
5103,2023-01-05 06:00:00,3002,Male,35,Snacks,Nuts,8,20.19,161.52,A,Bank Transfer
5104,2023-01-05 07:00:00,3052,Male,57,Beverage,Mineral Water,2,18.68,37.36,A,E-Wallet
5105,2023-01-05 08:00:00,3429,Male,34,Dairy,Butter,10,7.22,72.2,A,E-Wallet
5106,2023-01-05 09:00:00,3374,Male,59,Snacks,Nuts,10,45.48,454.79999999999995,A,Cash
5107,2023-01-05 10:00:00,3234,Male,24,Snacks,Crackers,11,62.47,687.17,D,Credit Card
5108,2023-01-05 11:00:00,3305,Female,22,Personal Care,Lotion,8,72.07,576.56,A,Credit Card
5109,2023-01-05 12:00:00,3057,Female,43,Snacks,Chips,4,49.06,196.24,A,E-Wallet
5110,2023-01-05 13:00:00,3476,Male,65,Snacks,Chips,1,13.49,13.49,B,Bank Transfer
5111,2023-01-05 14:00:00,3434,Female,27,Frozen,Frozen Pizza,9,43.56,392.04,C,Credit Card
5112,2023-01-05 15:00:00,3343,Female,33,Household,Cleaner,7,68.84,481.88,A,E-Wallet
5113,2023-01-05 16:00:00,3004,Female,68,Snacks,Chips,11,102.33,1125.6299999999999,D,Bank Transfer
5114,2023-01-05 17:00:00,3068,Male,61,Dairy,Cheese,6,50.83,304.98,A,Cash
5115,2023-01-05 18:00:00,3140,Female,57,Produce,Broccoli,8,29.93,239.44,B,Bank Transfer
5116,2023-01-05 19:00:00,3150,Female,62,Snacks,Nuts,1,101.82,101.82,C,E-Wallet
5117,2023-01-05 20:00:00,3474,Male,61,Household,Cleaner,3,54.82,164.46,C,Credit Card
5118,2023-01-05 21:00:00,3104,Male,40,Produce,Apples,1,109.37,109.37,A,Bank Transfer
5119,2023-01-05 22:00:00,3490,,31,Dairy,Milk,7,51.49,360.43,C,Bank Transfer
5120,2023-01-05 23:00:00,3355,Female,46,Personal Care,Shampoo,6,15.54,93.24,C,E-Wallet
5121,2023-01-06 00:00:00,3004,Female,54,Snacks,Crackers,7,72.46,507.21999999999997,D,E-Wallet
5122,2023-01-06 01:00:00,3396,Male,68,Household,Detergent,5,95.14,475.7,A,Cash
5123,2023-01-06 02:00:00,3260,Female,40,Beverage,Mineral Water,1,89.3,89.3,C,Cash
5124,2023-01-06 03:00:00,3244,Female,23,Snacks,Cookies,3,112.7,338.1,D,Credit Card
5125,2023-01-06 04:00:00,3223,Male,50,Beverage,Soft Drink,9,13.74,123.66,D,E-Wallet
5126,2023-01-06 05:00:00,3263,Female,36,Dairy,Milk,7,114.07,798.49,B,E-Wallet
5127,2023-01-06 06:00:00,3266,Male,28,Snacks,Cookies,5,27.32,136.6,B,Bank Transfer
5128,2023-01-06 07:00:00,3088,Female,36,Snacks,Chips,1,60.24,60.24,B,Cash
5129,2023-01-06 08:00:00,3015,Male,64,Dairy,Cheese,4,105.81,423.24,B,E-Wallet
5130,2023-01-06 09:00:00,3487,Male,37,Household,Dish Soap,7,40.86,286.02,A,Credit Card
5131,2023-01-06 10:00:00,3468,Female,55,Snacks,Cookies,9,39.53,355.77,D,Bank Transfer
5132,2023-01-06 11:00:00,3378,Female,21,Beverage,Energy Drink,10,72.27,722.6999999999999,A,Bank Transfer
5133,2023-01-06 12:00:00,3199,Female,60,Beverage,Mineral Water,9,14.67,132.03,A,E-Wallet
5134,2023-01-06 13:00:00,3141,Male,61,Beverage,Energy Drink,6,119.04,714.24,C,E-Wallet
5135,2023-01-06 14:00:00,3439,Male,62,Personal Care,Shampoo,6,50.42,302.52,A,Cash
5136,2023-01-06 15:00:00,3028,Female,36,Dairy,Butter,11,17.97,197.67,B,Credit Card
5137,2023-01-06 16:00:00,3295,Male,21,Personal Care,Toothpaste,2,104.88,209.76,B,Cash
5138,2023-01-06 17:00:00,3402,Female,56,Frozen,Ice Cream,5,7.69,38.45,D,Bank Transfer
5139,2023-01-06 18:00:00,3446,Female,58,Personal Care,Lotion,2,105.44,210.88,D,Bank Transfer
5140,2023-01-06 19:00:00,3367,Male,41,Household,Cleaner,1,34.46,34.46,D,E-Wallet
5141,2023-01-06 20:00:00,3331,Male,20,Beverage,Soft Drink,6,49.01,294.06,C,Credit Card
5142,2023-01-06 21:00:00,3356,Female,54,Frozen,Ice Cream,11,34.91,384.01,A,Cash
5143,2023-01-06 22:00:00,3117,Male,48,Snacks,Crackers,5,5.74,28.700000000000003,A,E-Wallet
5144,2023-01-06 23:00:00,3100,Male,55,Frozen,Ice Cream,10,114.39,1143.9,A,E-Wallet
5145,2023-01-07 00:00:00,3194,Female,35,Dairy,Milk,4,11.82,47.28,A,Bank Transfer
5146,2023-01-07 01:00:00,3304,Female,50,Household,Cleaner,3,3.59,10.77,C,E-Wallet
5147,2023-01-07 02:00:00,3494,Male,60,Snacks,Cookies,4,90.77,363.08,C,E-Wallet
5148,2023-01-07 03:00:00,3017,Male,44,Household,Dish Soap,5,87.79,438.95000000000005,B,Cash
5149,2023-01-07 04:00:00,3134,Female,61,Household,Tissue,11,42.05,462.54999999999995,A,E-Wallet
5150,2023-01-07 05:00:00,3361,Male,19,Household,Dish Soap,4,1.56,6.24,D,E-Wallet
5151,2023-01-07 06:00:00,3110,Female,67,Snacks,Cookies,5,3.64,18.2,D,Credit Card
5152,2023-01-07 07:00:00,3087,Male,62,Personal Care,Soap,3,21.77,65.31,A,Cash
5153,2023-01-07 08:00:00,3047,Female,62,Beverage,Energy Drink,6,73.05,438.29999999999995,B,E-Wallet
5154,2023-01-07 09:00:00,3272,Male,54,Household,Dish Soap,8,31.36,250.88,B,Credit Card
5155,2023-01-07 10:00:00,3316,Female,21,Beverage,Energy Drink,11,34.82,383.02,B,Bank Transfer
5156,2023-01-07 11:00:00,3297,Male,69,Personal Care,Shampoo,11,115.61,1271.71,A,Credit Card
5157,2023-01-07 12:00:00,3410,Male,63,Beverage,Juice,10,108.11,1081.1,C,Cash
5158,2023-01-07 13:00:00,3302,Female,58,Produce,Broccoli,11,16.49,181.39,D,Cash
5159,2023-01-07 14:00:00,3434,Male,17,Dairy,Cheese,10,73.61,736.1,D,Bank Transfer
5160,2023-01-07 15:00:00,3257,Male,27,Frozen,Frozen Pizza,9,30.66,275.94,C,Cash
5161,2023-01-07 16:00:00,3420,Male,28,Beverage,Mineral Water,1,4.09,4.09,D,Cash
5162,2023-01-07 17:00:00,3414,Female,38,Produce,Apples,9,21.26,191.34,B,Cash
5163,2023-01-07 18:00:00,3386,Male,,Household,Detergent,7,13.42,93.94,B,E-Wallet
5164,2023-01-07 19:00:00,3468,,40,Beverage,Energy Drink,2,96.69,193.38,A,Credit Card
5165,2023-01-07 20:00:00,3325,Female,52,Beverage,Soft Drink,4,5.56,22.24,A,Bank Transfer
5166,2023-01-07 21:00:00,3415,Male,20,Household,Dish Soap,5,6.07,30.35,A,Bank Transfer
5167,2023-01-07 22:00:00,3392,Female,42,Frozen,Frozen Vegetables,11,73.12,804.32,D,E-Wallet
5168,2023-01-07 23:00:00,3350,Female,57,Dairy,Butter,8,111.41,891.28,B,Bank Transfer
5169,2023-01-08 00:00:00,3487,Female,21,Dairy,Milk,9,2.41,21.69,A,E-Wallet
5170,2023-01-08 01:00:00,3061,Male,67,Produce,Carrots,3,87.91,263.73,B,Credit Card
5171,2023-01-08 02:00:00,3322,Female,63,Household,Detergent,6,45.12,270.71999999999997,A,Cash
5172,2023-01-08 03:00:00,3373,Male,39,Produce,Carrots,8,53.07,424.56,C,E-Wallet
5173,2023-01-08 04:00:00,3255,Male,64,Snacks,Nuts,8,45.96,367.68,C,Cash
5174,2023-01-08 05:00:00,3461,Male,42,Beverage,Juice,5,75.19,375.95,A,Cash
5175,2023-01-08 06:00:00,3324,,66,Household,Cleaner,10,16.35,163.5,A,Cash
5176,2023-01-08 07:00:00,3301,Male,46,Snacks,Crackers,3,15.2,45.599999999999994,B,Cash
5177,2023-01-08 08:00:00,3308,Male,61,Produce,Carrots,5,41.37,206.85,B,Cash
5178,2023-01-08 09:00:00,3136,Female,37,Household,Detergent,5,12.48,62.400000000000006,C,Credit Card
5179,2023-01-08 10:00:00,3487,Female,55,Snacks,Chips,2,104.97,209.94,A,Bank Transfer
5180,2023-01-08 11:00:00,3089,,34,Snacks,Crackers,3,118.99,356.96999999999997,C,Bank Transfer
5181,2023-01-08 12:00:00,3455,Male,55,Snacks,Nuts,7,115.83,810.81,B,E-Wallet
5182,2023-01-08 13:00:00,3142,,18,Beverage,Mineral Water,7,64.11,448.77,A,E-Wallet
5183,2023-01-08 14:00:00,3413,Male,18,Frozen,Ice Cream,5,95.91,479.54999999999995,C,Cash
5184,2023-01-08 15:00:00,3365,Male,29,Snacks,Crackers,3,116.76,350.28000000000003,D,Credit Card
5185,2023-01-08 16:00:00,3320,Male,37,Frozen,Ice Cream,4,85.6,342.4,D,Credit Card
5186,2023-01-08 17:00:00,3341,Male,21,Personal Care,Shampoo,1,110.88,110.88,D,Bank Transfer
5187,2023-01-08 18:00:00,3421,Male,38,Household,Detergent,7,20.79,145.53,B,Credit Card
5188,2023-01-08 19:00:00,3120,Male,53,Household,Dish Soap,11,113.86,1252.46,C,E-Wallet
5189,2023-01-08 20:00:00,3497,Female,50,Dairy,Butter,3,20.56,61.67999999999999,B,Bank Transfer
5190,2023-01-08 21:00:00,3481,Female,25,Snacks,Chips,8,8.24,65.92,D,Cash
5191,2023-01-08 22:00:00,3378,Male,56,Snacks,Nuts,6,117.79,706.74,A,Bank Transfer
5192,2023-01-08 23:00:00,3425,Female,34,Personal Care,Lotion,11,118.65,1305.15,A,Credit Card
5193,2023-01-09 00:00:00,3473,Male,35,Beverage,Juice,8,14.24,113.92,C,Credit Card
5194,2023-01-09 01:00:00,3373,Female,56,Dairy,Milk,4,50.24,200.96,B,Bank Transfer
5195,2023-01-09 02:00:00,3251,Male,61,Dairy,Milk,10,76.87,768.7,A,E-Wallet
5196,2023-01-09 03:00:00,3448,Female,62,Snacks,Chips,2,102.37,204.74,D,Cash
5197,2023-01-09 04:00:00,3059,Female,16,Snacks,Cookies,8,45.55,364.4,A,Credit Card
5198,2023-01-09 05:00:00,3494,Female,45,Snacks,Cookies,2,110.04,220.08,D,E-Wallet
5199,2023-01-09 06:00:00,3078,Female,19,Snacks,Cookies,1,18.6,18.6,C,Bank Transfer
5200,2023-01-09 07:00:00,3009,Female,,Personal Care,Soap,5,5.4,27.0,C,Credit Card
5201,2023-01-09 08:00:00,3207,Male,60,Frozen,Ice Cream,3,49.56,148.68,D,Cash
5202,2023-01-09 09:00:00,3391,Female,57,Snacks,Nuts,1,64.08,64.08,D,Credit Card
5203,2023-01-09 10:00:00,3066,Female,48,,,4,110.57,442.28,B,Credit Card
5204,2023-01-09 11:00:00,3223,Female,55,Frozen,Frozen Vegetables,5,107.41,537.05,A,Cash
5205,2023-01-09 12:00:00,3199,Male,19,Snacks,Cookies,4,52.76,211.04,B,Bank Transfer
5206,2023-01-09 13:00:00,3041,Female,25,Produce,Broccoli,7,103.88,727.16,B,Credit Card
5207,2023-01-09 14:00:00,3376,Female,40,Electronics,USB Cable,3,20.99,62.97,C,Credit Card
5208,2023-01-09 15:00:00,3459,Male,54,Beverage,Soft Drink,8,26.67,213.36,D,Credit Card
5209,2023-01-09 16:00:00,3077,Male,37,Beverage,Energy Drink,1,62.15,62.15,B,Bank Transfer
5210,2023-01-09 17:00:00,3461,Female,42,Electronics,USB Cable,5,7.26,36.3,C,Cash
5211,2023-01-09 18:00:00,3154,Female,45,Frozen,Frozen Vegetables,9,91.15,820.35,A,Bank Transfer
5212,2023-01-09 19:00:00,3491,Male,40,Beverage,Mineral Water,1,64.92,64.92,A,Credit Card
5213,2023-01-09 20:00:00,3124,Male,26,Snacks,Crackers,2,18.54,37.08,B,Bank Transfer
5214,2023-01-09 21:00:00,3498,Female,25,Personal Care,Toothpaste,8,62.04,496.32,D,Credit Card
5215,2023-01-09 22:00:00,3136,Female,46,Personal Care,Lotion,1,60.44,60.44,D,Bank Transfer
5216,2023-01-09 23:00:00,3270,Female,68,Beverage,Mineral Water,3,77.24,231.71999999999997,C,Credit Card
5217,2023-01-10 00:00:00,3429,Male,35,Electronics,USB Cable,7,8.19,57.33,D,E-Wallet
5218,2023-01-10 01:00:00,3252,Female,18,Frozen,Ice Cream,11,45.26,497.85999999999996,B,Credit Card
5219,2023-01-10 02:00:00,3258,Male,68,Electronics,Phone Case,2,97.15,194.3,D,Bank Transfer
5220,2023-01-10 03:00:00,3248,Female,35,Personal Care,Lotion,3,4.51,13.53,C,Cash
5221,2023-01-10 04:00:00,3170,Female,23,Beverage,Energy Drink,1,77.18,77.18,D,Bank Transfer
5222,2023-01-10 05:00:00,3207,Male,55,Beverage,Mineral Water,8,41.94,335.52,C,E-Wallet
5223,2023-01-10 06:00:00,3441,Male,50,Electronics,Phone Case,11,81.53,896.83,B,Bank Transfer
5224,2023-01-10 07:00:00,3472,Female,51,Beverage,Energy Drink,10,36.16,361.59999999999997,D,Credit Card
5225,2023-01-10 08:00:00,3064,Male,23,Snacks,Chips,10,108.62,1086.2,A,E-Wallet
5226,2023-01-10 09:00:00,3482,Female,42,Dairy,Milk,7,37.19,260.33,D,E-Wallet
5227,2023-01-10 10:00:00,3004,Female,47,Produce,Carrots,5,101.75,508.75,D,Credit Card
5228,2023-01-10 11:00:00,3018,Female,21,Snacks,Chips,10,22.03,220.3,B,Credit Card
5229,2023-01-10 12:00:00,3089,Male,48,Snacks,Chips,4,117.7,470.8,A,Cash
5230,2023-01-10 13:00:00,3239,Male,55,Household,Cleaner,5,44.45,222.25,D,Credit Card
5231,2023-01-10 14:00:00,3216,Male,19,Beverage,Mineral Water,4,61.21,244.84,C,Cash
5232,2023-01-10 15:00:00,3198,Male,33,Personal Care,Toothpaste,9,100.75,906.75,A,E-Wallet
5233,2023-01-10 16:00:00,3098,Female,46,Electronics,Phone Case,10,10.5,105.0,D,Cash
5234,2023-01-10 17:00:00,3051,Male,56,Electronics,Earphones,2,19.33,38.66,C,Bank Transfer
5235,2023-01-10 18:00:00,3358,Male,66,Dairy,Milk,9,41.57,374.13,A,Bank Transfer
5236,2023-01-10 19:00:00,3131,Male,37,Snacks,Cookies,8,47.61,380.88,C,Cash
5237,2023-01-10 20:00:00,3147,Female,53,Produce,Broccoli,6,97.66,585.96,A,Credit Card
5238,2023-01-10 21:00:00,3303,Male,51,Beverage,Mineral Water,7,28.13,196.91,C,Bank Transfer
5239,2023-01-10 22:00:00,3046,Male,23,,,11,97.54,1072.94,D,Credit Card
5240,2023-01-10 23:00:00,3442,Male,,Personal Care,Toothpaste,7,88.62,620.34,D,Credit Card
5241,2023-01-11 00:00:00,3420,Female,69,Personal Care,Toothpaste,11,98.21,1080.31,D,E-Wallet
5242,2023-01-11 01:00:00,3019,Male,62,Beverage,Juice,3,100.61,301.83,B,Credit Card
5243,2023-01-11 02:00:00,3476,Female,68,Beverage,Juice,3,89.46,268.38,C,Credit Card
5244,2023-01-11 03:00:00,3175,Female,16,Snacks,Cookies,5,22.97,114.85,A,Cash
5245,2023-01-11 04:00:00,3439,Male,19,Household,Cleaner,3,57.94,173.82,B,Credit Card
5246,2023-01-11 05:00:00,3074,Male,48,Beverage,Energy Drink,10,94.3,943.0,D,Credit Card
5247,2023-01-11 06:00:00,3466,Female,25,Produce,Bananas,4,28.6,114.4,B,Credit Card
5248,2023-01-11 07:00:00,3063,Male,45,Electronics,Earphones,4,97.67,390.68,C,Credit Card
5249,2023-01-11 08:00:00,3196,Female,21,Snacks,Chips,5,82.32,411.59999999999997,D,Cash
5250,2023-01-11 09:00:00,3140,Female,28,,,9,94.72,852.48,D,Bank Transfer
5251,2023-01-11 10:00:00,3411,,58,,,1,13.95,13.95,D,E-Wallet
5252,2023-01-11 11:00:00,3093,Male,47,Snacks,Nuts,9,67.27,605.43,C,Bank Transfer
5253,2023-01-11 12:00:00,3460,Male,40,Electronics,USB Cable,8,89.03,712.24,B,Cash
5254,2023-01-11 13:00:00,3395,Male,62,Snacks,Crackers,8,66.77,534.16,A,E-Wallet
5255,2023-01-11 14:00:00,3388,Female,17,Beverage,Juice,8,12.74,101.92,C,Bank Transfer
5256,2023-01-11 15:00:00,3046,Female,56,Electronics,USB Cable,5,113.69,568.45,D,Credit Card
5257,2023-01-11 16:00:00,3123,Male,36,Household,Tissue,3,76.57,229.70999999999998,D,Cash
5258,2023-01-11 17:00:00,3443,Male,36,Household,Tissue,2,61.63,123.26,A,Cash
5259,2023-01-11 18:00:00,3188,Female,35,Household,Cleaner,1,43.4,43.4,C,Credit Card
5260,2023-01-11 19:00:00,3408,Female,20,,,6,31.05,186.3,B,E-Wallet
